"doi","study.year","latitude","longitude","elevation","MAT","MAP","soil.ph","litter.species","duration","nf","nc","kf","kc","sdf","sdc","yi","vi","invert.effect","weight","Region"
"10.1111/btp.12740",2011,12,-86.167,"40",26,3500,6.57,"Mixture",0.739726027,3,3,0.86286,1.244285,0.042989501,0.064484252,0.366063894,0.001722668,0.306541508,1.5,"Americas"
"10.1111/btp.12740",2011,12,-86.167,"507",26,3500,6.57,"Mixture",0.739726027,9,9,1.41839,1.91625,0.12483,0.12483,0.300847726,0.001332116,0.259809524,4.5,"Americas"
"10.1098/rspb.2019.1300",2015,4.081,-52.687,"#VALUE!",25.5,2900,NA,"Mixture",0.58,5,5,0.999687061,2.07581518,0.099180821,0.190107902,0.730666922,0.003646062,0.518412299,2.5,"Americas"
"10.1126/science.aau9565",2015,4.743,116.969,"437",24.9,2484,4.83,"Shorea johorensis",0.31,9,9,1.751363113,1.547258085,0.27050332,0.262795356,-0.123910019,0.005855927,-0.131914016,4.5,"Asia"
"10.1002/ecs2.1692",2014,-0.6859,-76.397,"250",24.9,2826,4.6,"Nectandra viburnoides ",0.285,10,10,0.97056231,1.005483155,0.196610507,0.084958459,0.035347852,0.004817558,0.034730413,5,"Americas"
"10.1002/ecs2.1692",2014,-0.6859,-76.397,"250",24.9,2826,4.6,"Miconia purpono",0.285,10,10,1.312162951,1.654754072,0.098651511,0.549218309,0.231975518,0.011581218,0.207034463,5,"Americas"
"10.1002/ecs2.1692",2014,-0.6859,-76.397,"250",24.9,2826,4.6,"Pseudolmedia laevis",0.285,10,10,1.941397493,2.091873062,0.310254831,0.224311577,0.074651796,0.003703753,0.071933413,5,"Americas"
"10.1002/ecs2.1692",2014,-0.6859,-76.397,"250",24.9,2826,4.6,"Inga capitata",0.285,10,10,2.356151272,2.600567178,0.315178343,0.161053069,0.098700096,0.002172928,0.093985615,5,"Americas"
"10.1002/ecs2.1692",2014,-0.6859,-76.397,"250",24.9,2826,4.6,"Neea comun",0.285,10,10,2.406017083,2.559576385,0.238705451,0.270814017,0.061869052,0.002103753,0.05999403,5,"Americas"
"10.1002/ecs2.1692",2014,-0.6859,-76.397,"250",24.9,2826,4.6,"Matisia malacocalyx",0.285,10,10,2.480426716,2.60838034,0.768432721,0.983633234,0.050298861,0.023818334,0.049054818,5,"Americas"
"10.1002/ecs2.1692",2014,-0.6859,-76.397,"250",24.9,2826,4.6,"Siparuna decipiens ",0.285,10,10,2.693829561,2.717499636,0.341153897,0.297291902,0.008748396,0.002800653,0.00871024,5,"Americas"
"10.1002/ecs2.1692",2014,-0.6859,-76.397,"250",24.9,2826,4.6,"Leonia glycycarpa",0.285,10,10,2.562561304,3.266660915,0.212020362,0.302541261,0.242761069,0.001542303,0.215541077,5,"Americas"
"10.1890/ES15-00112.1",2011,21.883,101.3,"1100",22.3,1100,4.7,"Dipterocarpus retusus ",1,3,3,0.328031956,0.389316206,0.106559356,0.124235733,0.171280852,0.069118934,0.157415101,1.5,"Asia"
