"Study","Study.year","Study.month","Duration.month","Latitude","Longitude","Family","Species","Herbivore","N.species","Leaf.age","No.plants","No.leaves","Units","damage","Region"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus hispidioides","all",1,"Mature",1,50,50,0.000947018,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus hispidioides","all",1,"Mature",1,50,50,0.031276956,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus congesta","all",1,"Mature",1,50,50,0.023467583,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus congesta","all",1,"Mature",1,50,50,0.020166379,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus hahliana","all",1,"Mature",1,50,50,0.007761095,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus hahliana","all",1,"Mature",1,50,50,0.020398942,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus conocephalifolia","all",1,"Mature",1,50,50,0.017369552,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus conocephalifolia","all",1,"Mature",1,50,50,0.029803867,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus hahliana","all",1,"Mature",1,50,50,0.035039023,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus hahliana","all",1,"Mature",1,50,50,0.026431386,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.019324373,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.009022936,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.029862814,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.030674991,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus conocephalifolia","all",1,"Mature",1,50,50,0.045275905,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus conocephalifolia","all",1,"Mature",1,50,50,0.006910104,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus hahliana","all",1,"Mature",1,50,50,0.054154394,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus hahliana","all",1,"Mature",1,50,50,0.019124848,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus hahliana","all",1,"Mature",1,50,50,0.031472402,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus hahliana","all",1,"Mature",1,50,50,0.025114325,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.013629001,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.027187731,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus hispidioides","all",1,"Mature",1,50,50,0.025849663,"Asia"
