"STUDY_ID","GROUP","ABUNDANCE","TAXON","PLOT","MONTH","YEAR","REGION","LEPIDOPTERA_FAMILY","LEPIDOPTERA_SUPERFAMILY"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Appias albina","T1",10,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Argyreus hyperbius","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Ariadne ariadne","T1",10,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Astictopterus jama","T1",10,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",6,"Cethosia biblis","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Cyrestis thyodamas","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Danaus genutia","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",5,"Euploea mulciber","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Eurema hecabe","T1",10,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Graphium sarpedon","T1",10,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Hypolimnas bolina","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Jamides alecto","T1",10,2003,"Asia","Lycaenidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Junonia almana","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Lethe confusa","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",3,"Lethe syrcis","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Neptis clinia","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Neptis namba","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Papilio helenus","T1",10,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Papilio paris","T1",10,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Parantica melaneus","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Parantica sita","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",3,"Parnara sp","T1",10,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",3,"Pieris canidia","T1",10,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",5,"Prioneris thestylis","T1",10,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Pseudozizeeria maha","T1",10,2003,"Asia","Lycaenidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",3,"Ragadia crisilda","T1",10,2003,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Vindula erota","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",6,"Ypthima baldus","T1",10,2003,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Ypthima imitans","T1",10,2003,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Zemeros flegyas","T1",10,2003,"Asia","Riodinidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",6,"Appias albina","T1",10,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Ariadne ariadne","T1",10,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",6,"Athyma asura","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",10,"Cethosia biblis","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Cirrochroa tyche","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",3,"Danaus genutia","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",8,"Euploea mulciber","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Eurema blanda","T1",10,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Eurema hecabe","T1",10,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Euripus nyctelius","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Graphium agamemnon","T1",10,2003,"Asia","Papilionidae","Papilionoidea"
